date,old_ticker,new_ticker
8/11/2024,FIAC,DEVS
5/11/2024,GLT,MAGN
31/10/2024,NUZE,IMG
30/10/2024,VEV,VEVMQ
28/10/2024,ACST,GRCE
28/10/2024,NYCB,FLG
24/10/2024,OCUP,IRD
23/10/2024,FANH,AIFU
22/10/2024,INVO,IVF
21/10/2024,TCJH,WAI
18/10/2024,YNDX,NBIS
18/10/2024,KTRA,HURA
16/10/2024,AGBA,ILLR
15/10/2024,SGH,PENG
14/10/2024,CIAN,CANPY
9/10/2024,VIRI,DWTX
7/10/2024,BSIIU,TGE
7/10/2024,RPHM,OKUR
3/10/2024,LCW,INV
3/10/2024,EVA,EVVAQ
3/10/2024,ELYM,CLYM
2/10/2024,SSIC,LIEN
2/10/2024,AMSWA,LGTY
2/10/2024,CHK,EXE
2/10/2024,XFIN,BDMD
1/10/2024,RCRT,NIXX
30/9/2024,NICK,OMCC
30/9/2024,CACO,HTCO
27/9/2024,ACAC,FOXX
24/9/2024,MEDS,SCNX
20/9/2024,BFI,BFICQ
18/9/2024,PTWO,SBC
18/9/2024,KA,KANT
18/9/2024,HNRA,EONR
17/9/2024,PLMI,VEEA
17/9/2024,TUP,TUPBQ
17/9/2024,WENA,KLTO
13/9/2024,SAI,SAIH
12/9/2024,SOI,SEI
11/9/2024,VLD,VELO
11/9/2024,GIGGU,GIG
10/9/2024,AULT,GPUS
9/9/2024,MICS,RIME
9/9/2024,DRQ,INVX
9/9/2024,BIG,BIGGQ
6/9/2024,BNRE,BNT
4/9/2024,RSTN,GIFT
3/9/2024,ABIO,ORKA
30/8/2024,NUVOW,NUVWQ
30/8/2024,IFIN,CURR
28/8/2024,ICD,ICDI
26/8/2024,CPLP,CCEC
22/8/2024,GPS,GAP
20/8/2024,BREZ,YDES
16/8/2024,MACA,SLXN
16/8/2024,AACI,RZLV
15/8/2024,HUGE,QNTM
14/8/2024,GAMC,BSLK
13/8/2024,WAVD,AIFF
12/8/2024,QLI,BGM
9/8/2024,LL,LLFLQ
9/8/2024,CUBWU,CUB
9/8/2024,AEZS,CSCIF
8/8/2024,TENK,CTOR
7/8/2024,CEI,CEIN
6/8/2024,UCBI,UCB
5/8/2024,PNM,TXNM
5/8/2024,TRIS,HPAI
2/8/2024,EMLD,FLD
1/8/2024,VWE,VWESQ
1/8/2024,SMLP,SMC
1/8/2024,SEG.W,SEG
1/8/2024,CETU,MKDW
1/8/2024,ARYD,ADGM
30/7/2024,CHEB.U,PLBL
30/7/2024,PEGR,PITEF
24/7/2024,MYMD,QCLS
18/7/2024,HYW,STEC
16/7/2024,SHPWW,SHPSQ
15/7/2024,MCAC,CNTM
15/7/2024,EURN,CMBT
15/7/2024,JAN,ALTS
10/7/2024,CHAA,CGBS
9/7/2024,GPAC,SDST
1/7/2024,BWAQ,TOYO
1/7/2024,TNP,TEN
1/7/2024,DLA,DLAPQ
1/7/2024,PWFL,AIOT
1/7/2024,BITE,ABVE
25/6/2024,DHAC,VSEE
24/6/2024,RWOD,KLTO
24/6/2024,FLFV,AIEV
21/6/2024,AVRO,TECX
10/6/2024,OCN,ONIT
7/6/2024,RBT,RBTC
7/6/2024,PLTN,DSY
6/6/2024,SEVCQ,SSM
6/6/2024,SSNT,QXO
6/6/2024,SEQL,ATLN
5/6/2024,LIFE,ATYR
31/5/2024,INXB,INBX
30/5/2024,FLJ,XHG
30/5/2024,INXBV,INBX
28/5/2024,YS,LSB
28/5/2024,AUVIP,AUVPQ
20/5/2024,AIH,PAIYY
20/5/2024,CNHI,CNH
20/5/2024,BRP,BWIN
17/5/2024,FWBI,ENTO
16/5/2024,CLVR,CLVV
15/5/2024,CPG,VRN
13/5/2024,WISH,LOGC
10/5/2024,ALCC,OKLO
9/5/2024,FRRVY,FER
8/5/2024,AIB,PSIG
3/5/2024,CONX,CNXX
2/5/2024,LGVCW,NUVWQ
2/5/2024,LGVC,NUVOQ
1/5/2024,PGSS,SHMD
30/4/2024,FUV,FUVV
25/4/2024,AIBBR,AACRF
19/4/2024,XLYO,XYLO
19/4/2024,DCFCW,DCFWQ
18/4/2024,MDGS,XYLO
18/4/2024,GGE,GGEI
18/4/2024,CBD,CBDBY
17/4/2024,OSA,OSAPQ
17/4/2024,ARRW,AILEQ
15/4/2024,CNXA,YYAI
12/4/2024,STIXW,STWWF
8/4/2024,STRC,PDYN
5/4/2024,KYCH,ZOOZ
4/4/2024,VIEWW,VIWWQ
4/4/2024,ASCA,NIVF
4/4/2024,CASA,CASSQ
